Order_id,Date,Region,Product,Category,Units_sold,Unit_price,Total_revenue
1001,1/3/2023,North,Widget A,Electronics,150,$25.00,"$3,750.00"
1002,1/5/2023,South,Widget B,Electronics,200,$20.00,"$4,000.00"
1003,1/10/2023,East,Widget C,Furniture,50,$100.00,"$5,000.00"
1004,1/15/2023,West,Widget D,Furniture,80,$75.00,"$6,000.00"
1005,2/1/2023,North,Widget A,Electronics,180,$25.00,"$4,500.00"
1006,2/3/2023,East,Widget E,Electronics,300,$30.00,"$9,000.00"
1007,2/10/2023,West,Widget F,Furniture,90,$120.00,"$10,800.00"
1008,3/5/2023,South,Widget B,Electronics,250,$20.00,"$5,000.00"
1009,3/10/2023,North,Widget C,Furniture,60,$100.00,"$6,000.00"
1010,3/20/2023,West,Widget A,Electronics,200,$25.00,"$5,000.00"
1011,4/1/2023,East,Widget G,Electronics,120,$40.00,"$4,800.00"
1012,4/15/2023,North,Widget H,Furniture,70,$90.00,"$6,300.00"
1013,4/25/2023,South,Widget D,Furniture,85,$75.00,"$6,375.00"
